num,masses,lengths
456.0,5.107393,2.270925
457.0,2.541023,0.991057
458.0,5.176432,2.302031
459.0,6.115875,2.869982
460.0,5.17446,2.677198
462.0,5.646928,2.526085
463.0,4.557856,2.372993
464.0,3.904056,1.782244
465.0,2.850954,0.991057
467.0,2.841335,1.223345
468.0,2.87499,0.991057
469.0,2.552989,0.991057
472.0,3.203476,1.167251
474.0,6.336552,3.026643
475.0,4.421212,1.784003
476.0,4.591299,1.910368
480.0,4.018672,1.621321
483.0,2.624136,0.991057
484.0,3.401538,1.292164
486.0,3.045641,0.991057
487.0,4.513571,1.962578
489.0,4.800775,1.888155
490.0,5.331368,2.442733
491.0,6.848459,3.077421
492.0,2.542767,0.991057
494.0,6.820612,3.135409
495.0,3.339694,1.334971
496.0,3.441664,1.292164
497.0,3.948287,1.599709
499.0,5.925905,2.540991
500.0,2.586709,0.991057
502.0,5.246137,2.542909
503.0,5.909392,2.609497
504.0,4.672898,1.900758
505.0,3.653024,1.446505
506.0,3.640564,1.52442
507.0,4.696123,1.881428
509.0,5.991009,2.640479
510.0,2.844035,0.991057
511.0,4.895479,2.068482
513.0,5.022332,2.430948
514.0,4.102881,1.655887
516.0,3.2612,1.334971
517.0,4.084208,1.650134
518.0,2.736454,0.991057
519.0,5.279297,2.449048
521.0,7.201438,3.453039
522.0,5.088994,2.177628
523.0,5.933837,2.594451
524.0,4.271879,1.871713
525.0,3.841557,1.886771
527.0,4.647891,1.959765
528.0,4.307674,1.747535
529.0,3.567704,1.362856
530.0,3.654015,1.389059
531.0,2.838653,0.991057
532.0,6.074767,2.827686
533.0,3.405359,1.399496
534.0,3.483088,1.705623
535.0,5.569294,2.245185
537.0,8.149068,3.929825
538.0,3.424278,1.739004
539.0,4.829029,2.182744
540.0,3.971419,1.550005
541.0,2.561582,0.991057
543.0,3.513974,1.423637
544.0,5.680286,2.463919
545.0,2.553409,0.991057
546.0,4.813317,2.031933
548.0,2.546713,0.991057
550.0,5.440506,2.480368
551.0,2.840533,1.223345
552.0,3.049746,0.922315
554.0,6.015478,2.831823
555.0,5.018868,2.083286
556.0,2.547339,0.991057
557.0,4.820734,2.024674
559.0,5.656069,2.473632
560.0,5.515491,2.434989
561.0,4.17599,1.615088
562.0,3.279854,1.334971
564.0,2.540799,0.991057
565.0,5.37002,2.257115
566.0,4.825038,2.160744
567.0,3.923279,1.599709
568.0,5.152618,2.180039
569.0,3.449427,1.292164
570.0,3.441819,1.292164
571.0,6.770864,3.246176
572.0,6.344595,2.730377
573.0,6.292491,2.841521
574.0,3.10019,1.12255
575.0,3.308876,1.729489
576.0,3.717154,1.567213
577.0,4.742361,2.001541
578.0,3.306503,1.259158
579.0,3.820079,1.455663
580.0,2.905885,0.991057
581.0,6.866344,3.177254
583.0,4.432071,1.79656
585.0,3.51979,1.423637
586.0,5.870303,2.514071
587.0,3.840501,1.54265
588.0,5.080708,2.238296
589.0,5.896524,2.799057
590.0,4.240974,1.792407
591.0,3.971675,1.446505
592.0,7.996433,3.835193
593.0,4.949342,2.108272
594.0,4.190543,1.695339
595.0,3.253584,1.18441
596.0,4.988885,2.028114
597.0,2.53959,0.991057
598.0,5.572881,2.351428
599.0,7.059055,3.224796
600.0,3.203049,1.072841
602.0,7.872504,3.693768
604.0,3.236986,1.072841
605.0,2.875536,0.991057
606.0,2.863505,0.991057
607.0,4.402819,1.907195
608.0,2.865174,1.223345
609.0,3.862121,1.59046
610.0,3.191263,1.12255
611.0,2.841868,0.991057
612.0,3.905943,1.734286
613.0,2.869113,0.991057
614.0,6.315684,2.819265
615.0,3.561769,1.583765
616.0,3.920449,1.863263
617.0,4.042713,1.615088
618.0,8.204281,3.912401
619.0,3.15071,1.259158
620.0,3.511333,1.362856
622.0,4.178955,1.922351
623.0,3.330643,1.273096
625.0,3.021598,0.840608
626.0,2.859396,0.991057
627.0,6.570749,3.09666
628.0,4.005193,1.745621
630.0,5.2343,2.40888
631.0,2.961078,0.991057
632.0,3.918433,1.560146
633.0,4.763549,2.04569
635.0,6.02444,2.68578
637.0,2.863723,0.840608
638.0,2.867958,0.991057
640.0,4.330701,1.945863
641.0,5.959939,2.732769
642.0,5.828452,2.5318
643.0,6.014697,2.67429
645.0,3.368077,1.373871
646.0,3.519124,1.362856
648.0,2.839003,1.141638
649.0,4.082049,1.615088
650.0,4.325125,1.792407
652.0,3.770667,1.54265
653.0,3.761374,1.641909
654.0,2.542519,0.991057
655.0,3.511876,1.072841
656.0,5.686482,2.429826
659.0,2.733659,1.12255
660.0,2.74335,0.991057
661.0,3.537746,1.399496
662.0,3.646849,1.560146
663.0,6.591765,3.037581
665.0,4.022468,1.802361
667.0,7.135613,3.358215
670.0,3.536414,1.423637
671.0,6.209911,2.745656
676.0,2.998621,1.305097
